start,problem_size,bound,optimal_cost,cost,states generated,algorithm,pred_KRE,pred_CDP
"(4, 9, 3, 2, 1, 11, 13, 7, 8, 6, 5, 10, 12, 14)",14,0,10,10,611,IDA*,57.9715312,1603.9867654692325
"(2, 3, 9, 14, 13, 8, 12, 11, 6, 7, 10, 1, 5, 4)",14,0,10,10,11162,IDA*,57.9715312,14575.383097046117
"(8, 13, 5, 4, 2, 1, 7, 6, 12, 11, 10, 3, 9, 14)",14,0,10,10,2256,IDA*,57.9715312,14575.383097046117
"(14, 1, 13, 10, 5, 2, 6, 4, 3, 9, 8, 12, 11, 7)",14,0,11,11,4962,IDA*,754.2025678,2238.5321759334247
"(11, 9, 6, 5, 10, 1, 7, 2, 14, 13, 8, 12, 3, 4)",14,0,11,11,3143,IDA*,754.2025678,2238.5321759334247
"(4, 7, 9, 5, 2, 3, 11, 10, 8, 12, 6, 1, 13, 14)",14,0,11,11,1493,IDA*,754.2025678,2238.5321759334247
"(11, 4, 10, 5, 14, 9, 12, 13, 3, 2, 1, 7, 8, 6)",14,0,11,11,28550,IDA*,754.2025678,20931.89303670784
"(6, 7, 2, 3, 10, 9, 1, 8, 14, 5, 12, 13, 4, 11)",14,0,11,11,14299,IDA*,754.2025678,20931.89303670784
"(9, 2, 13, 12, 11, 1, 10, 6, 8, 7, 4, 14, 3, 5)",14,0,11,11,4052,IDA*,754.2025678,2238.5321759334247
"(12, 13, 8, 14, 6, 3, 2, 1, 11, 10, 7, 5, 9, 4)",14,0,11,11,20831,IDA*,754.2025678,20931.89303670784
"(8, 5, 2, 3, 12, 11, 6, 7, 9, 1, 13, 14, 4, 10)",14,0,11,11,14732,IDA*,754.2025678,20931.89303670784
"(10, 9, 6, 1, 3, 4, 12, 8, 11, 14, 7, 13, 2, 5)",14,0,12,12,8774,IDA*,9805.4991268,3044.33618423028
"(11, 5, 10, 4, 6, 9, 13, 12, 14, 3, 8, 7, 1, 2)",14,0,12,12,13899,IDA*,9805.4991268,29197.4569448916
"(4, 13, 14, 5, 2, 11, 3, 9, 8, 10, 1, 12, 7, 6)",14,0,12,12,20268,IDA*,9805.4991268,29197.4569448916
"(14, 6, 3, 11, 8, 4, 5, 13, 12, 10, 1, 9, 7, 2)",14,0,12,12,4221,IDA*,9805.4991268,3044.33618423028
"(11, 10, 2, 5, 8, 3, 14, 13, 4, 6, 1, 9, 12, 7)",14,0,12,12,7317,IDA*,9805.4991268,3044.33618423028
"(4, 2, 6, 3, 13, 10, 8, 9, 14, 7, 12, 11, 5, 1)",14,0,12,12,1544,IDA*,9805.4991268,3044.33618423028
"(1, 7, 4, 5, 2, 10, 14, 13, 6, 12, 3, 9, 8, 11)",14,0,12,12,15949,IDA*,9805.4991268,29197.4569448916
"(8, 2, 11, 4, 5, 12, 9, 1, 13, 3, 10, 7, 6, 14)",14,0,12,12,4897,IDA*,9805.4991268,3044.33618423028
"(8, 5, 2, 4, 10, 11, 14, 13, 3, 7, 6, 12, 1, 9)",14,0,12,12,13943,IDA*,9805.4991268,29197.4569448916
"(14, 7, 4, 9, 12, 11, 6, 13, 2, 3, 8, 10, 1, 5)",14,0,12,12,3765,IDA*,9805.4991268,3044.33618423028
"(5, 8, 4, 1, 7, 11, 6, 9, 10, 13, 3, 12, 2, 14)",14,0,12,12,476,IDA*,9805.4991268,323.21531786310504
"(11, 5, 3, 9, 1, 2, 4, 12, 6, 7, 13, 8, 14, 10)",14,0,12,12,6271,IDA*,9805.4991268,3044.33618423028
"(5, 14, 1, 13, 2, 3, 10, 11, 9, 4, 7, 8, 12, 6)",14,0,12,12,9447,IDA*,9805.4991268,29197.4569448916
"(8, 3, 5, 13, 10, 9, 14, 7, 6, 4, 1, 12, 11, 2)",14,0,12,12,48009,IDA*,9805.4991268,29197.4569448916
"(11, 14, 4, 3, 7, 9, 8, 5, 1, 2, 6, 13, 10, 12)",14,0,12,12,13011,IDA*,9805.4991268,29197.4569448916
"(2, 4, 13, 12, 14, 10, 7, 9, 11, 1, 8, 3, 5, 6)",14,0,12,12,5267,IDA*,9805.4991268,3044.33618423028
"(7, 9, 2, 8, 14, 10, 13, 11, 4, 3, 6, 5, 12, 1)",14,0,12,12,10179,IDA*,9805.4991268,3044.33618423028
"(8, 12, 13, 10, 4, 9, 7, 11, 14, 5, 1, 2, 3, 6)",14,0,12,12,40207,IDA*,9805.4991268,29197.4569448916
"(8, 13, 3, 4, 2, 1, 10, 6, 12, 11, 5, 14, 9, 7)",14,0,12,12,24852,IDA*,9805.4991268,29197.4569448916
"(10, 2, 1, 6, 7, 11, 13, 5, 3, 14, 4, 12, 9, 8)",14,0,12,12,11141,IDA*,9805.4991268,29197.4569448916
"(2, 12, 7, 6, 4, 1, 5, 11, 10, 14, 3, 13, 8, 9)",14,0,12,12,100639,IDA*,9805.4991268,29197.4569448916
"(2, 4, 12, 11, 8, 6, 5, 14, 1, 3, 13, 9, 10, 7)",14,0,12,12,33750,IDA*,9805.4991268,29197.4569448916
"(6, 10, 11, 1, 5, 4, 7, 14, 3, 2, 9, 13, 12, 8)",14,0,12,12,57603,IDA*,9805.4991268,272203.044116047
"(12, 11, 3, 6, 8, 7, 10, 1, 9, 5, 14, 13, 2, 4)",14,0,12,12,27427,IDA*,9805.4991268,29197.4569448916
"(3, 6, 13, 7, 8, 4, 14, 9, 10, 5, 2, 12, 1, 11)",14,0,12,12,9345,IDA*,9805.4991268,3044.33618423028
"(6, 10, 11, 2, 13, 8, 3, 5, 7, 14, 1, 9, 12, 4)",14,0,13,13,20754,IDA*,127472.4886484,4049.211229944757
"(3, 7, 1, 12, 2, 8, 10, 13, 4, 5, 11, 14, 9, 6)",14,0,13,13,28433,IDA*,127472.4886484,4049.211229944757
"(12, 10, 3, 1, 4, 8, 13, 2, 5, 11, 9, 14, 6, 7)",14,0,13,13,6464,IDA*,127472.4886484,4049.211229944757
"(5, 2, 6, 10, 1, 7, 12, 13, 11, 8, 14, 9, 4, 3)",14,0,13,13,22207,IDA*,127472.4886484,39690.838182182895
"(12, 14, 5, 13, 7, 3, 2, 9, 6, 1, 10, 11, 8, 4)",14,0,13,13,45837,IDA*,127472.4886484,39690.838182182895
"(9, 4, 7, 12, 14, 1, 8, 3, 2, 11, 10, 6, 5, 13)",14,0,13,13,60855,IDA*,127472.4886484,379672.5238294941
"(8, 12, 14, 10, 7, 3, 4, 6, 11, 5, 9, 1, 2, 13)",14,0,13,13,44167,IDA*,127472.4886484,39690.838182182895
"(11, 3, 14, 12, 10, 5, 9, 13, 7, 6, 1, 4, 8, 2)",14,0,13,13,3954,IDA*,127472.4886484,4049.211229944757
"(10, 12, 2, 7, 8, 14, 5, 1, 6, 4, 13, 9, 3, 11)",14,0,13,13,7671,IDA*,127472.4886484,4049.211229944757
"(8, 7, 13, 9, 6, 14, 12, 1, 4, 3, 11, 2, 5, 10)",14,0,13,13,44980,IDA*,127472.4886484,39690.838182182895
"(9, 2, 11, 12, 3, 13, 10, 8, 14, 7, 4, 1, 6, 5)",14,0,13,13,119426,IDA*,127472.4886484,39690.838182182895
"(2, 12, 13, 5, 3, 10, 4, 14, 1, 6, 9, 11, 7, 8)",14,0,13,13,25753,IDA*,127472.4886484,39690.838182182895
"(2, 6, 9, 3, 5, 4, 13, 8, 12, 11, 7, 14, 10, 1)",14,0,13,13,25145,IDA*,127472.4886484,39690.838182182895
"(6, 7, 14, 11, 2, 1, 9, 4, 8, 13, 10, 3, 5, 12)",14,0,13,13,96379,IDA*,127472.4886484,39690.838182182895
"(12, 3, 6, 2, 11, 5, 9, 4, 7, 13, 1, 10, 8, 14)",14,0,13,13,710,IDA*,127472.4886484,395.1404930938292
"(1, 3, 13, 6, 2, 10, 5, 11, 12, 9, 4, 14, 7, 8)",14,0,13,13,113426,IDA*,127472.4886484,39690.838182182895
"(4, 6, 3, 1, 10, 2, 13, 12, 7, 5, 11, 8, 14, 9)",14,0,13,13,2950,IDA*,127472.4886484,4049.211229944757
"(8, 13, 9, 5, 2, 10, 12, 3, 1, 4, 7, 11, 6, 14)",14,0,13,13,253,IDA*,127472.4886484,395.1404930938292
"(11, 6, 7, 9, 14, 3, 1, 10, 4, 13, 5, 8, 12, 2)",14,0,13,13,5450,IDA*,127472.4886484,4049.211229944757
"(8, 10, 4, 7, 13, 12, 9, 2, 1, 5, 3, 11, 14, 6)",14,0,13,13,51750,IDA*,127472.4886484,39690.838182182895
"(9, 7, 12, 6, 8, 2, 3, 5, 14, 10, 4, 1, 11, 13)",14,0,13,13,19968,IDA*,127472.4886484,4049.211229944757
"(9, 8, 10, 14, 3, 13, 1, 7, 12, 6, 11, 2, 4, 5)",14,0,13,13,27613,IDA*,127472.4886484,39690.838182182895
"(8, 3, 4, 11, 6, 1, 10, 7, 9, 13, 14, 12, 2, 5)",14,0,13,13,15314,IDA*,127472.4886484,39690.838182182895
"(8, 10, 9, 5, 12, 4, 1, 7, 11, 2, 6, 3, 14, 13)",14,0,13,13,149454,IDA*,127472.4886484,39690.838182182895
"(14, 10, 6, 4, 13, 2, 3, 12, 9, 11, 1, 5, 8, 7)",14,0,13,13,54198,IDA*,127472.4886484,39690.838182182895
"(10, 9, 3, 12, 11, 8, 6, 13, 5, 2, 4, 1, 14, 7)",14,0,13,13,7037,IDA*,127472.4886484,39690.838182182895
"(14, 13, 10, 7, 2, 1, 9, 4, 11, 6, 8, 5, 12, 3)",14,0,13,13,125932,IDA*,127472.4886484,39690.838182182895
"(14, 2, 8, 3, 5, 1, 9, 10, 12, 4, 6, 13, 11, 7)",14,0,13,13,14327,IDA*,127472.4886484,4049.211229944757
"(4, 8, 7, 11, 14, 10, 1, 3, 9, 5, 6, 12, 13, 2)",14,0,13,13,238870,IDA*,127472.4886484,379672.5238294941
"(11, 13, 5, 1, 7, 3, 12, 9, 4, 8, 10, 2, 6, 14)",14,0,13,13,580,IDA*,127472.4886484,395.1404930938292
"(5, 9, 1, 14, 2, 13, 8, 3, 10, 4, 6, 11, 12, 7)",14,0,13,13,19566,IDA*,127472.4886484,4049.211229944757
"(8, 9, 13, 10, 2, 6, 14, 12, 7, 4, 5, 1, 11, 3)",14,0,13,13,92153,IDA*,127472.4886484,39690.838182182895
"(11, 3, 14, 4, 9, 7, 2, 10, 13, 8, 1, 12, 5, 6)",14,0,14,14,54602,IDA*,1657143.3524292,52773.68101401306
"(9, 5, 7, 12, 13, 10, 14, 1, 4, 8, 3, 11, 6, 2)",14,0,14,14,93158,IDA*,1657143.3524292,52773.68101401306
"(4, 2, 6, 1, 13, 10, 12, 8, 14, 9, 5, 7, 3, 11)",14,0,14,14,17686,IDA*,1657143.3524292,5280.6901551896
"(2, 12, 6, 9, 8, 3, 14, 11, 7, 13, 10, 4, 1, 5)",14,0,14,14,24903,IDA*,1657143.3524292,52773.68101401306
"(8, 5, 1, 12, 6, 2, 10, 3, 11, 7, 13, 14, 9, 4)",14,0,14,14,83238,IDA*,1657143.3524292,52773.68101401306
"(9, 7, 5, 11, 10, 12, 2, 8, 14, 3, 1, 4, 13, 6)",14,0,14,14,60750,IDA*,1657143.3524292,52773.68101401306
"(8, 2, 13, 7, 3, 12, 6, 4, 14, 5, 9, 1, 11, 10)",14,0,14,14,148237,IDA*,1657143.3524292,52773.68101401306
"(14, 3, 9, 4, 12, 2, 13, 5, 8, 1, 7, 10, 6, 11)",14,0,14,14,20230,IDA*,1657143.3524292,5280.6901551896
"(2, 6, 7, 13, 5, 10, 14, 1, 11, 3, 9, 4, 8, 12)",14,0,14,14,31632,IDA*,1657143.3524292,52773.68101401306
"(1, 14, 4, 2, 13, 6, 12, 8, 11, 7, 10, 5, 3, 9)",14,0,14,14,22375,IDA*,1657143.3524292,5280.6901551896
"(1, 12, 2, 9, 6, 14, 3, 4, 11, 7, 10, 13, 5, 8)",14,0,14,14,19988,IDA*,1657143.3524292,52773.68101401306
"(2, 13, 7, 5, 12, 6, 11, 8, 1, 3, 10, 4, 14, 9)",14,0,14,14,20479,IDA*,1657143.3524292,5280.6901551896
"(2, 10, 14, 9, 5, 7, 4, 11, 8, 13, 1, 6, 12, 3)",14,0,14,14,13836,IDA*,1657143.3524292,5280.6901551896
"(1, 14, 12, 9, 5, 11, 13, 6, 4, 3, 10, 8, 2, 7)",14,0,14,14,44185,IDA*,1657143.3524292,52773.68101401306
"(2, 7, 11, 12, 8, 10, 6, 14, 9, 3, 5, 1, 13, 4)",14,0,14,14,136559,IDA*,1657143.3524292,52773.68101401306
"(10, 3, 11, 14, 5, 9, 6, 8, 4, 7, 2, 13, 1, 12)",14,0,14,14,13943,IDA*,1657143.3524292,5280.6901551896
"(7, 4, 9, 14, 10, 2, 12, 8, 13, 6, 1, 5, 11, 3)",14,0,14,14,12606,IDA*,1657143.3524292,5280.6901551896
"(3, 12, 8, 7, 13, 6, 10, 14, 5, 2, 9, 11, 1, 4)",14,0,14,14,67355,IDA*,1657143.3524292,52773.68101401306
"(9, 1, 7, 3, 14, 12, 2, 5, 10, 6, 13, 8, 4, 11)",14,0,14,14,13282,IDA*,1657143.3524292,5280.6901551896
"(13, 8, 3, 14, 9, 1, 11, 2, 4, 10, 6, 12, 7, 5)",14,0,14,14,15573,IDA*,1657143.3524292,5280.6901551896
"(4, 2, 14, 12, 7, 3, 11, 9, 6, 13, 1, 5, 8, 10)",14,0,14,14,6552,IDA*,1657143.3524292,5280.6901551896
"(12, 10, 5, 3, 14, 9, 7, 13, 1, 4, 6, 8, 11, 2)",14,0,14,14,50969,IDA*,1657143.3524292,5280.6901551896
"(5, 12, 4, 1, 10, 8, 11, 13, 3, 9, 14, 7, 6, 2)",14,0,14,14,31374,IDA*,1657143.3524292,52773.68101401306
"(6, 7, 2, 5, 14, 1, 11, 4, 13, 8, 10, 12, 3, 9)",14,0,14,14,25563,IDA*,1657143.3524292,52773.68101401306
"(14, 8, 2, 6, 10, 7, 5, 3, 9, 12, 1, 13, 11, 4)",14,0,14,14,28017,IDA*,1657143.3524292,5280.6901551896
"(10, 7, 13, 5, 2, 1, 6, 9, 3, 14, 8, 11, 4, 12)",14,0,14,14,167177,IDA*,1657143.3524292,52773.68101401306
"(10, 11, 7, 9, 3, 12, 5, 14, 6, 2, 8, 4, 13, 1)",14,0,14,14,73044,IDA*,1657143.3524292,52773.68101401306
"(3, 5, 7, 10, 1, 11, 2, 14, 4, 8, 12, 6, 13, 9)",14,0,14,14,16082,IDA*,1657143.3524292,5280.6901551896
"(9, 5, 1, 2, 6, 3, 12, 10, 7, 4, 13, 11, 14, 8)",14,0,14,14,47260,IDA*,1657143.3524292,52773.68101401306
"(11, 7, 14, 3, 6, 9, 4, 12, 2, 13, 8, 10, 5, 1)",14,0,15,15,70390,IDA*,21542863.5815796,68803.96888707529
"(3, 10, 4, 8, 2, 5, 13, 6, 12, 9, 11, 14, 1, 7)",14,0,15,15,92528,IDA*,21542863.5815796,68803.96888707529
"(12, 14, 9, 1, 5, 13, 2, 8, 10, 3, 7, 11, 4, 6)",14,0,15,15,52971,IDA*,21542863.5815796,68803.96888707529
